Title,Price,Image URL,Specifications
"Laptop Dell 15 DC15255 15,6"" 120Hz R5 7530U 16GB RAM 512GB Dysk SSD Win11 Czarny",2 299.00 zł,"https://f00.esfr.pl/foto/5/188164654153/fe637eed643ce276208f499d013c8c26/dell-laptop-dell-d15-r5-16gb-512gb-w11,188164654153_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 120 Hz', 'Procesor': 'AMD Ryzen™ 5 7530U', 'Pamięć': '16 GB  DDR4 3200 MHz RAM', 'Grafika': 'AMD  Radeon™ Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop Lenovo IdeaPad Slim 5 16IMH10 16"" Core Ultra 5 135H 16GB RAM 512GB Dysk SSD Win11 Szary Funkcje AI",2 879.00 zł,"https://f00.esfr.pl/foto/5/189540124761/513f896b3580e2b4c488a58eac2a575/lenovo-laptop-ips5-16-u5-16-512gb,189540124761_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 60 Hz', 'Procesor': 'Intel® Core™ Ultra 5 14gen 135H', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'Intel®  Arc Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop HP 17-cp3216nw 17,3"" R7 7730U 16GB RAM 512GB Dysk SSD Win11 Srebrny",2 666.00 zł,"https://f00.esfr.pl/foto/7/172741857937/9467c653487d2f531c0df85a7a5c10e6/hp-laptop-hp-17-r7-16-512gb-w11,172741857937_7.webp","{'Ekran': '17,3 "",  1920 x 1080 pikseli', 'Procesor': 'AMD Ryzen™ 7 7730U', 'Pamięć': '16 GB  DDR4 3200 MHz RAM', 'Grafika': 'AMD  Radeon™ Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop Lenovo Yoga 7 14ILL10 OLED 14"" Ultra 5 226V 16GB RAM 512GB Dysk SSD Win11 Funkcje AI",4 099.00 zł,"https://f00.esfr.pl/foto/3/167445780505/74041f1f771bdc87fe993fa930c795ca/lenovo-yoga-7-14ill10-oled-14-ultra-5-226v-16gb-ram-512gb-dysk-ssd-win11,167445780505_7.webp","{'Ekran': '14 "", ekran dotykowy 1920 x 1200 pikseli 60 Hz', 'Procesor': 'Intel® Core™ Ultra 5 14gen 226V', 'Pamięć': '16 GB  LPDDR5x 7467 Mhz RAM', 'Grafika': 'Intel®  Arc Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy ASUS ROG Strix G16 G614PR-R9161W 16"" 165Hz R9 8940HX 16GB RAM 1TB Dysk SSD RTX5070Ti DLSS4 Win11 Szary Funkcje AI",8 999.00 zł,"https://f00.esfr.pl/foto/5/163024506817/5328fe38eef21a9fc58677e676bfbda2/asus-rog-strix-g16-2025-16-240hz-r7-9955hx-16gb-ram-1tb-dysk-ssd-rtx5070ti-dlss4-win11-szary,163024506817_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 165 Hz', 'Procesor': 'AMD Ryzen™ 9 8940HX', 'Pamięć': '16 GB  DDR5 5200 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5070 Ti + AMD Radeon™ 610M', 'Dysk': '1 TB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop ASUS Vivobook 16 M1605NAQ-MB114W 16"" Ryzen 5 150 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",2 599.00 zł,"https://f00.esfr.pl/foto/7/185048464241/9de1c9b6d3f1a0429c3c9a31b5f730bf/asus-laptop-asus-vb-16-r5-16-512-w11-mb114,185048464241_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 60 Hz', 'Procesor': 'AMD Ryzen™ 5 150', 'Pamięć': '16 GB  DDR5 RAM', 'Grafika': 'AMD  Radeon™ 660M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Lenovo LOQ 15IAX9 15,6"" 144Hz i5-12450HX 16GB RAM 512GB Dysk SSD RTX3050 Win11 Szary",3 299.00 zł,"https://f00.esfr.pl/foto/9/142666184041/75780b1d7e014cde46599421580a5aeb/lenovo-laptop-loq-i5-16gb-512gb-3050-w11_1,142666184041_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i5 12gen 12450HX', 'Pamięć': '16 GB  DDR5 4800 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 3050 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Lenovo LOQ 15ARP9 15,6"" 144Hz R5 7235HS 16GB RAM 512GB Dysk SSD RTX4050 DLSS3 Win11 Szary Funkcje AI + Mysz",3 799.00 zł,"https://f00.esfr.pl/foto/3/185362416849/ff8ea954561795396b8d59fcdb27d0f1/lenovo-laptop-loq-15-6-r5-16gb-512gb-w11-mysz,185362416849_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'AMD Ryzen™ 5 7235HS', 'Pamięć': '16 GB  DDR5 4800 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 4050', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy MSI Katana 15 HX B14WFK-822PL 15,6"" 144Hz i7-14650HX 16GB RAM 1TB Dysk SSD RTX5060 DLSS4 Win11 Czarny",4 749.00 zł,"https://f00.esfr.pl/foto/5/176398202465/43674c9d523679cf7655be1bdbb265b3/msi-laptop-katana-15-i7-16-1tb-5060-w11,176398202465_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i7 14gen 14650HX', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics', 'Dysk': '1 TB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop HP OmniBook 5 16-ag1223nw 16"" Ryzen AI 5 340 16GB RAM 512GB Dysk SSD Win11 Srebrny Funkcje AI",2 666.00 zł,"https://f00.esfr.pl/foto/1/186933010489/122e7b944ff4f01cb180a47ab33f9d66/hp-laptop-hp-ob5-ai-16-rai-5-16-512-w11,186933010489_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli', 'Procesor': 'AMD Ryzen™ AI 5 340', 'Pamięć': '16 GB  LPDDR5x 7500 Mhz RAM', 'Grafika': 'AMD  Radeon™ 840M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
